! numero totale di parametri presenti nel file
23
! numero totale delle stazioni presenti nel file
75
! Tabella analizzatori (codici di corrispondenza tra stazioni <--> inquinanti)
! analizzatore non presente ---> -1
! Il campo "attiva" seleziona le stazioni operative (0 non esistente , 1 operativa)
CodiceProvincia      NomeStazione      CodiceStazione   attiva   NO2   NOX   NO   PM10   PM2.5   O3   CO   BENZENE   SO2   PIOGGIA   RADG   VV   DV   TEMP   UMR   RADN   PRESS   EBENZENE   TOLUENE   M-XYLENE   O-XYLENE   P-XYLENE   MP-XYLENE 
   dummy                dummy              paramcd        -->     04    02   03    25      39    07   06      62      01      23      22    12   13    18     19    21      20       64        63        66          65         67          73
     01              ArenulaVecchia          01            0      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Preneste                02            1      01    01   01    01      01    01   01      01      01      01      01    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Francia                 03            1      01    01   01    01      01    01   01      01      01      -1      01    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              FermiVecchia            04            0      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              MGrecia                 05            1      01    01   01    01      01    01   01      01      01      -1      01    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Libia                   06            0      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Montezemolo             07            0      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Cinecitta               08            1      01    01   01    01      01    01   01      01      01      -1      01    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              TiburtinaVecchia        09            0      01    01   01    01      01    01   01      01      01      -1      01    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Saredo                  33            0      -1    -1   -1    -1      -1    -1   -1      -1      -1      01      01    -1   -1    -1     -1    -1      -1       -1        -1        -1          -1         -1          -1
     01              VillaAda                39            1      01    01   01    01      01    01   01      01      01      01      01    01   01    01     01    01      01       02        01        01          01         01          01
     01              Guido                   40            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Cavaliere               41            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Fermi                   47            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Bufalotta               48            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
     01              Cipro                   49            1      01    01   01    01      01    01   01      01      01      -1      -1    -1   -1    -1     -1    -1      -1       01        01        01          01         01          01
